filename,cloud_cover,clear_pixel_count_pt,count_orbit_pixels_pt,cloud_cover_pt
S2A_MSIL2A_20240630T113321_N0510_R080_T29SMD_20240630T170554,62.177724,---,---,---
S2B_MSIL2A_20240702T112119_N0510_R037_T29SMD_20240702T140006,0.030934,42413032,42427020,0
S2B_MSIL2A_20240705T113319_N0510_R080_T29SMD_20240705T135824,19.005971,38982438,40743076,4
S2A_MSIL2A_20240707T112121_N0510_R037_T29SMD_20240707T154151,1.280153,41729025,42427020,2
S2A_MSIL2A_20240710T113321_N0510_R080_T29SMD_20240710T190652,42.207962,29375058,40931965,28
S2B_MSIL2A_20240712T112119_N0510_R037_T29SMD_20240712T140600,49.802777,19621525,42427020,54
S2B_MSIL2A_20240715T113319_N0510_R080_T29SMD_20240715T125521,13.83175,18190972,40835599,55
S2A_MSIL2A_20240717T112111_N0510_R037_T29SMD_20240717T182053,34.038156,24044558,42427020,43
S2A_MSIL2A_20240720T113321_N0510_R080_T29SMD_20240720T153249,60.25933,---,---,---
S2B_MSIL2A_20240722T112119_N0510_R037_T29SMD_20240722T140445,0.023743,42426672,42427020,0
S2B_MSIL2A_20240725T113319_N0511_R080_T29SMD_20240725T153430,92.096603,---,---,---
S2A_MSIL2A_20240727T112121_N0511_R037_T29SMD_20240727T184508,79.072148,---,---,---
S2A_MSIL2A_20240730T113321_N0511_R080_T29SMD_20240730T191052,60.920167,30915849,40950558,25
S2B_MSIL2A_20240801T112119_N0511_R037_T29SMD_20240801T153107,46.61645,26464215,42427020,38
S2B_MSIL2A_20240804T113319_N0511_R080_T29SMD_20240804T130554,10.931721,39915993,40943792,3
S2A_MSIL2A_20240806T112111_N0511_R037_T29SMD_20240806T154759,59.118104,23290428,42427020,45
S2A_MSIL2A_20240809T113321_N0511_R080_T29SMD_20240809T173400,23.920161,33132784,41080284,19
S2B_MSIL2A_20240811T112119_N0511_R037_T29SMD_20240811T130838,40.062714,40875079,42427020,4
S2B_MSIL2A_20240814T113319_N0511_R080_T29SMD_20240814T130224,2.625547,32562443,40583056,20
S2A_MSIL2A_20240816T112111_N0511_R037_T29SMD_20240816T152257,0.009003,42427020,42427020,0
S2A_MSIL2A_20240819T113321_N0511_R080_T29SMD_20240819T152344,34.069353,27238208,41190848,34
S2B_MSIL2A_20240821T112119_N0511_R037_T29SMD_20240821T140857,0.117998,41817985,42427020,1
S2B_MSIL2A_20240824T113319_N0511_R080_T29SMD_20240824T141309,28.805012,19180920,40949860,53
S2A_MSIL2A_20240826T112111_N0511_R037_T29SMD_20240826T151251,82.982063,26238320,42427020,38
S2A_MSIL2A_20240829T113321_N0511_R080_T29SMD_20240829T150843,82.813072,---,---,---
S2B_MSIL2A_20240831T112119_N0511_R037_T29SMD_20240831T124542,96.294653,---,---,---
S2B_MSIL2A_20240903T113319_N0511_R080_T29SMD_20240903T141158,4.423457,32578072,40456952,19
S2A_MSIL2A_20240905T112111_N0511_R037_T29SMD_20240905T152352,46.905571,28556179,42427020,33
S2B_MSIL2A_20240910T112119_N0511_R037_T29SMD_20240910T142416,2.990039,34771072,42427020,18
S2B_MSIL2A_20240913T113319_N0511_R080_T29SMD_20240913T140232,0.019493,40491705,40554380,0
S2A_MSIL2A_20240915T112111_N0511_R037_T29SMD_20240915T155449,0.005009,42427020,42427020,0
S2A_MSIL2A_20240918T113321_N0511_R080_T29SMD_20240918T190551,58.528805,---,---,---
S2B_MSIL2A_20240920T112109_N0511_R037_T29SMD_20240920T140316,40.422732,---,---,---
S2B_MSIL2A_20240923T113319_N0511_R080_T29SMD_20240923T140115,44.667786,25958850,40990602,37
S2A_MSIL2A_20240925T112121_N0511_R037_T29SMD_20240925T160349,99.767148,---,---,---
S2A_MSIL2A_20240928T113321_N0511_R080_T29SMD_20240928T155651,85.911751,---,---,---
S2B_MSIL2A_20240930T112119_N0511_R037_T29SMD_20240930T142524,1.739845,41152873,42427020,3
S2B_MSIL2A_20241003T113319_N0511_R080_T29SMD_20241003T143251,94.085473,---,---,---
S2A_MSIL2A_20241005T112111_N0511_R037_T29SMD_20241005T154651,53.692013,---,---,---
S2A_MSIL2A_20241008T113321_N0511_R080_T29SMD_20241008T154651,78.561836,---,---,---
S2B_MSIL2A_20241010T112109_N0511_R037_T29SMD_20241010T172120,24.307868,---,---,---
S2B_MSIL2A_20241013T113319_N0511_R080_T29SMD_20241013T140402,17.664829,---,---,---
S2A_MSIL2A_20241015T112111_N0511_R037_T29SMD_20241015T153947,99.809718,---,---,---
S2A_MSIL2A_20241018T113321_N0511_R080_T29SMD_20241018T153401,60.931951,---,---,---
S2B_MSIL2A_20241020T112119_N0511_R037_T29SMD_20241020T135511,75.88318,---,---,---
S2B_MSIL2A_20241023T113319_N0511_R080_T29SMD_20241023T125515,0.002825,40515516,40515516,0
S2A_MSIL2A_20241025T112141_N0511_R037_T29SMD_20241025T153857,40.925547,---,---,---
S2A_MSIL2A_20241028T113321_N0511_R080_T29SMD_20241028T154947,48.272872,24237302,40638903,40
S2B_MSIL2A_20241030T112119_N0511_R037_T29SMD_20241030T135459,1.474367,38376138,42428930,10
S2B_MSIL2A_20241102T113319_N0511_R080_T29SMD_20241102T140136,0.11374,40033558,40804687,2
